{4.0|part} Part 4: Deeper Grounding
{4.1|chapter} Reason in Service to Reality
{4.1.1|idea:D008} Reason guides the experiment, Reality judges the result.
{4.1.2|tie:P001} Reason is good, but it must be put against reality using consistent methods.
{4.1.2.1|idea:P001} Procedural Symmetry is that consistent method: applying the same rules of evaluation to all claims.
{4.1.2.2|idea:C024} The same critical standards we use to tear down a flawed idea must be applied with equal rigor to our own favored hypotheses.
{4.1.3|application_example} Pre registered vs Non pre registered Medical Studies: A Comparison
{4.1.3.1|ref:Meta-analysis of clinical trials} Pre registered medical study: Researchers must declare their hypothesis and methods before collecting data.
{4.1.3.2|tie:P001} This prevents cherry picking, p hacking, and adjusting analysis after seeing results.
{4.1.3.3|idea:C043} The study must follow the pre specified procedure regardless of outcome.
{4.1.3.4|ref:Meta-analysis of clinical trials} Non pre registered medical study: Researchers collect data first, then analyze and report based on what looks interesting.
{4.1.3.5|tie:C127} This allows for subtle manipulation: adjusting thresholds, focusing on subsets, emphasizing significant results while ignoring others.
{4.1.3.6|idea:C127} The procedure is applied asymmetrically to the data.
{4.1.3.7|ref:Meta-analysis of clinical trials} Comparison of Results: Meta analyses show that pre registered studies are more reliable and replicable.
{4.1.3.8|tie:C018} Non pre registered studies often fail to replicate when tested with pre registration.
{4.1.3.9|tie:C007} The reality is discovered through consistent, symmetrical procedures, not through flexible analysis.
{4.1.4|idea:write_things_down} Write things down, avoid the trap of truth through lived experience.
{4.1.4.1|idea:tech_writing} Writing things down is high technology.
{4.1.4.2|idea:accountability} Writing things down allows you to move away from your own experience at the moment, and understand yourself from the past, which can keep you accountable.
{4.1.4.3|idea:truth_seeking} Writing things down and telling other people about it is a way of escaping your own lived experience, increasing the reliability of studies, and will quickly detect gaslighters and deceivers in relationships.
{4.1.5|application_example} Historical Figures: Thinkers in a Room vs Experimental Method
{4.1.5.1|ref:Old Greeks} Ancient Greek philosophers often developed theories through pure reasoning without testing.
{4.1.5.2|tie:C010} Many ideas, like the four elements or geocentrism, persisted for centuries.
{4.1.5.3|tie:C018} Some ideas could have been tested and corrected sooner through empirical method.
{4.1.5.4|idea:C011} It is not wrong to think and reason; this can be good.
{4.1.5.5|idea:C013} Reason alone, without reality testing, leads to persistent error.
{4.1.6|tie:C011} Ideas that are True will resist actively being disproven.
{4.1.6.1|ref:Newton} The law of gravity was true long before Newton described it and Einstein refined it.
{4.1.6.2|idea:C022} Reality provides feedback: true theories survive and flourish, while false theories eventually fail.
{4.1.6.3|idea:D008} Reason can accelerate this process, but reality is the ultimate judge.
{4.1.7|insight} Key Insight: Reason is a powerful tool, but reality is the territory we navigate.
{4.1.7.1|idea:C013} Reason untethered to reality is hallucination.
{4.1.7.2|idea:C011} Reason in service to reality is discovery.
{4.1.7.3|idea:D008} The relationship: Reason proposes, Reality disposes.
{4.2|transition} From this epistemological grounding, we identify our core axiom of value.
{4.2|chapter} Survival and Flourishing as the Root Axiom
{4.2.1|idea:C151} Survival is the precondition for all value.
{4.2.2|idea:C153} Survival is not proof of truth, but it is evidence of functional alignment with reality.
{4.2.3|idea:C155} The Axiom of Goodness, human life should continue and continue well, is rooted in the revealed preference of existence itself.
{4.2.4|idea:C156} This philosophy is human centered.
{4.2.4.1|idea:C156} We are human; any philosophy meant to guide human action must begin with the fact of human existence.
{4.3|chapter} Compatibility with other philosophies and religions.
{4.3.1|idea:C160} The 6-Point Audit for Civilizational Fit.
{4.3.1.1|explanation} To be a foundation for this society, a worldview must align with the 5 foundational principles: 1) Objective Reality, 2) Flawed Human Nature, 3) Tiered Responsibility, 4) The Axiom of Goodness (Survival/Flourishing), and 5) Procedural Symmetry.
{4.3.1.2|idea:P021} The 6th Factor: The Humility Test.
{4.3.1.2.1|explanation} This is not an additional principle, but a practical test of interaction. It asks: Does this worldview possess the humility to allow itself to be critiqued? If it held hegemony, could you publicly, orderly, and non-defamatorily critique its primary tenets or founder without facing state punishment or systemic exclusion?

{4.3.2|section} The Compatible Core
{4.3.2.1|name} John Locke (The Architect of Liberalism).
{4.3.2.1.1|audit_reality} Compatible. "The state of nature has a law of nature to govern it... and reason, which is that law, teaches all mankind." (Second Treatise). Reason discovers a pre-existing moral reality.
{4.3.2.1.2|audit_human_nature} Compatible. "Men being... by nature, all free, equal, and independent." Yet he acknowledges they are not angels; they need government because in the state of nature, enjoyment of rights is "very unsafe, very unsecure."
{4.3.2.1.3|audit_responsibility} Compatible. "Every man has a property in his own person: this no body has any right to but himself."
{4.3.2.1.4|audit_goodness} Compatible. The goal of government is "the preservation of their property" (Life, Liberty, Estate), aligning with "continue and continue well."
{4.3.2.1.5|audit_symmetry} Compatible. "The freedom of men under government is, to have a standing rule to live by, common to every one of that society."
{4.3.2.1.6|audit_humility} Allowed. "Ill will... ought not to be found in the debates of men who have truth for their aim." (Letter Concerning Toleration). In Western Liberal Democracies (Hegemony), one can critique Liberalism itself without state punishment.

{4.3.2.2|name} Christianity (The Separation of Spheres).
{4.3.2.2.1|audit_reality} Compatible. "In the beginning was the Word (Logos)." (John 1:1). Reality is ordered and rational.
{4.3.2.2.2|audit_human_nature} Compatible. "For all have sinned and fall short of the glory of God." (Rom 3:23). Humans are flawed and not naturally good.
{4.3.2.2.3|audit_responsibility} Compatible. "If anyone does not provide for his own, and especially for those of his household, he has denied the faith." (1 Tim 5:8).
{4.3.2.2.4|audit_goodness} Compatible. "I came that they may have life, and have it abundantly." (John 10:10).
{4.3.2.2.5|audit_symmetry} Compatible. "Treat people the same way you want them to treat you." (Matt 7:12).
{4.3.2.2.6|audit_humility} Allowed. "Render to Caesar the things that are Caesar’s." Doctrinal separation allows for a secular space. In modern Christian Hegemony (US/West), critiquing the Bible or Jesus is protected speech.

{4.3.2.3|name} Thomas Reid (Common Sense Realism).
{4.3.2.3.1|audit_reality} Compatible. "That those things do really exist which we distinctly perceive by our senses." (Intellectual Powers).
{4.3.2.3.2|explanation} Reid defends the "common sense" view that we directly perceive reality, against Hume's skepticism. "Philosophy has no other root but the principles of common sense... severed from this root, its honours wither up."
{4.3.2.3.3|audit_human_nature} Compatible. Defends "Active Power" (Agency) and moral responsibility.
{4.3.2.3.4|audit_humility} Allowed. Common Sense Realism defines the "Shared Reality" of the courtroom. It welcomes debate as the path to truth, requiring only sanity, not dogmatic purity.

{4.3.2.5|name} Stoicism.
{4.3.2.5.1|audit_reality} Compatible. "If you are going to be a philosopher, you must adjust your will to nature." (Epictetus). Reality is objective and governed by Logos.
{4.3.2.5.2|audit_human_nature} Compatible. We are responsible for our judgments; suffering comes from false judgments, acknowledging human fallibility.
{4.3.2.5.3|audit_responsibility} Compatible. "Circles of Concern" (Hierocles) perfectly maps to Tiered Responsibility.
{4.3.2.5.4|audit_humility} Allowed. The Roman Empire (Hegemony) was cosmopolitan. Philosophy schools debated openly, and one could critique Stoicism. Persecution was political (refusal of loyalty), not theological.

{4.3.3|section} The Mixed / Conditional Compatibility
{4.3.3.1.1|name} Scripturalism and the Denial of the Real.
{4.3.3.1.2|audit_reality} Incompatible. They reject the "Correspondence Theory of Truth" (Truth corresponds to reality) in favor of the "Coherence Theory" (Truth is the mind of God).
{4.3.3.1.3|quote} "Scripturalism denies the correspondence theory of truth... a proposition is true because God thinks it to be true."
{4.3.3.1.4|quote} "Natural science is opinion... Justified truth is found only in the Word of God." (Trinity Review).
{4.3.3.1.5|explanation} The problem is not just that God created reality. The problem is the redefinition of Truth itself. If Truth is only "God's thoughts" (Scripture) and not "God's works" (Reality), then there is no Shared Reality with non-believers.
{4.3.3.1.6|distinction} Unlike Classical Christianity, which accepts "Two Books" (Scripture and Nature), Scripturalism actively denounces the ability of Nature to yield Knowledge, labeling it "opinion." This is "Epistemological Separatism."

{4.3.3.2|name} The Jesuit Order (Society of Jesus).
{4.3.3.2.1|audit_reality} Compatible. Strong tradition of education, astronomy, and scientific inquiry. Motto: "Finding God in all things."
{4.3.3.2.2|distinctiveness} Why Singled Out? Unlike other orders, Jesuits act as a quasi-military structure (led by a "Superior General") with a specific "Fourth Vow" of obedience to the Pope.
{4.3.3.2.3|audit_symmetry} Friction (The Fourth Vow). This creates a "State within a State" problem. The Jesuit's loyalty bypasses local law and bishop, going directly to a foreign sovereign (The Vatican).
{4.3.3.2.4|quote} "Perinde ac cadaver" (Obey as if a corpse). (Constitutions). This absolute obedience is an "Oddity" in Catholicism, more akin to an intelligence service than a contemplative order.
{4.3.3.2.5|audit_humility} Persecuted (Political Rivalry). In the Paraguay Reductions (Hegemony), the society was paternalistic and closed. Absolute obedience to the Order was required; critique of the hierarchy was not tolerated.

{4.3.3.3|name} Immanuel Kant (Ethical Match, Metaphysical Friction).
{4.3.3.3.1|audit_reality} Friction. "We indeed, rightly considering objects of sense as mere appearances... know not this thing as it is in itself." (Prolegomena).
{4.3.3.3.2|explanation} Kant separates the "Phenomenal" (knowable) from the "Noumenal" (unknowable thing-in-itself). This creates a friction with "Reality is Knowable." However, within the Phenomenal world, he supports objective science.
{4.3.3.3.3|audit_symmetry} Strongest Match. "Act only according to that maxim whereby you can at the same time will that it should become a universal law." (Groundwork). The Categorical Imperative IS Procedural Symmetry.
{4.3.3.3.4|audit_humility} Allowed. Critique is the engine of Reason. "The public use of one's reason must always be free." (What is Enlightenment?).

{4.3.3.4|name} David Hume (Political Match, Epistemological Incompatibility).
{4.3.3.4.1|audit_reality} Incompatible. "We can never be completely certain about the external world." He argues causation is just "habit," not objective reality. This denies "Reality is Knowable."
{4.3.3.4.2|audit_human_nature} Compatible. "Reason is, and ought only to be the slave of the passions." He acknowledges humans are driven by emotion and self-interest, not pure angelic reason.
{4.3.3.4.3|audit_responsibility} Compatible (Artificial Virtue). "Justice is a moral virtue, merely because it has that tendency to the good of mankind... an artificial invention."
{4.3.3.4.4|audit_symmetry} Compatible. "The law always limits every power it gives."
{4.3.3.4.5|audit_humility} Allowed. Skepticism inherently invites critique. A secular skeptical state tolerates dissent, as it doubts absolute truths that would justify persecution.

{4.3.3.5|name} Confucianism (Order Match, Symmetry Friction).
{4.3.3.5.1|audit_symmetry} Incompatible. "Let the ruler be a ruler, the subject a subject, the father a father, the son a son." (Analects 12.11). Justice is hierarchical, not symmetrical.
{4.3.3.5.2|audit_responsibility} Strong Match. The "Five Bonds" are the definition of Tiered Responsibility.
{4.3.3.5.3|audit_humility} Persecuted (If Disruptive). In Imperial China (Hegemony), "Remonstrance" was a duty but dangerous. Public critique of the Emperor's virtue or the social order often resulted in death or exile. Order supersedes open inquiry.

{4.3.3.6|name} Shinto (Nature Alignment, Ethical Friction).
{4.3.3.6.1|audit_reality} Compatible. "Nature itself is the manifestation of kami." (Sokyo Ono). The physical world is spiritual and real, not an illusion.
{4.3.3.6.2|audit_human_nature} Friction. Humans are "born pure" (children of Kami) and evil is external pollution (*Kegare*), not internal corruption. This friction makes it vulnerable to utopianism (if we just remove the pollution, we are perfect).
{4.3.3.6.3|audit_symmetry} Mixed. Historically particularist ("Land of the Gods"), which violates universal symmetry. However, the concept of *Musubi* (harmonious connection) offers a path to universalism.
{4.3.3.6.4|audit_humility} Persecuted (If Refusing National Rites). In Imperial Japan (State Shinto), the Emperor was divine. Critique was *Lese-majeste* and severely punished.

{4.3.3.7|name} John Rawls (Justice as Fairness).
{4.3.3.7.1|audit_reality} Friction (Epistemic Abstinence). Rawls avoids anchoring his system in a specific metaphysical reality, preferring a "freestanding" political conception.
{4.3.3.7.2|quote} "Political liberalism... applies the principle of toleration to philosophy itself." (Political Liberalism).
{4.3.3.7.3|explanation} While he does not deny reality, his "method of avoidance" treats the deep truths of reality as private opinions rather than public foundations. {{.title}} asserts that policy must align with objective reality, not just consensus.
{4.3.3.7.4|audit_human_nature} Compatible. Rawls accepts the "Constrained Vision," acknowledging that humans are biased by their own interests.
{4.3.3.7.5|quote} "The parties are conceived as not taking an interest in one another's interests." (A Theory of Justice).
{4.3.3.7.6|explanation} The "Veil of Ignorance" is a constructed tool specifically designed to neutralize the natural human tendency toward selfishness and bias, acknowledging that humans are not naturally impartial angels.
{4.3.3.7.7|audit_responsibility} Incompatible. His "Difference Principle" universalizes responsibility, prioritizing the "least advantaged" stranger over the natural tiered obligations to self and family.
{4.3.3.7.8|quote} "Social and economic inequalities are to be arranged so that they are... to the greatest benefit of the least advantaged." (A Theory of Justice).
{4.3.3.7.9|explanation} By making the condition of the worst-off the dampener on the success of the best-off, Rawls collapses the tiers of responsibility, transforming the society into a single family unit which violates the natural limit of human care.
{4.3.3.7.10|audit_goodness} Compatible. Rawls bases his system on "Primary Goods"—the necessary conditions for flourishing.
{4.3.3.7.11|quote} "Primary goods... things that every rational man is presumed to want." (A Theory of Justice).
